Adana,Akdeniz
Adiyaman,Guneydogu Anadolu
Afyonkarahisar,Ege
Agri,Dogu Anadolu
Amasya,Karadeniz
Ankara,Ic Anadolu
Antalya,Akdeniz
Artvin,Karadeniz
Aydin,Ege
Balikesir,Marmara
Bilecik,Marmara
Bingol,Dogu Anadolu
Bitlis,Dogu Anadolu
Bolu,Karadeniz
Burdur,Akdeniz
Bursa,Marmara
Canakkale,Marmara
Cankiri,Ic Anadolu
Corum,Karadeniz
Denizli,Ege
Diyarbakir,Guneydogu Anadolu
Edirne,Marmara
Elazig,Dogu Anadolu
Erzincan,Dogu Anadolu
Erzurum,Dogu Anadolu
Eskisehir,Ic Anadolu
Gaziantep,Guneydogu Anadolu
Giresun,Karadeniz
Gumushane,Karadeniz
Hakkari,Dogu Anadolu
Hatay,Akdeniz
Isparta,Akdeniz
Mersin,Akdeniz
Istanbul,Marmara
Izmir,Ege
Kars,Dogu Anadolu
Kastamonu,Karadeniz
Kayseri,Ic Anadolu
Kirklareli,Marmara
Kirsehir,Ic Anadolu
Kocaeli,Marmara
Konya,Ic Anadolu
Kutahya,Ege
Malatya,Dogu Anadolu
Manisa,Ege
Kahramanmaras,Akdeniz
Mardin,Guneydogu Anadolu
Mugla,Ege
Mus,Dogu Anadolu
Nevsehir,Ic Anadolu
Nigde,Ic Anadolu
Ordu,Karadeniz
Rize,Karadeniz
Sakarya,Marmara
Samsun,Karadeniz
Siirt,Guneydogu Anadolu
Sinop,Karadeniz
Sivas,Ic Anadolu
Tekirdag,Marmara
Tokat,Karadeniz
Trabzon,Karadeniz
Tunceli,Dogu Anadolu
Sanliurfa,Guneydogu Anadolu
Usak,Ege
Van,Dogu Anadolu
Yozgat,Ic Anadolu
Zonguldak,Karadeniz
Aksaray,Ic Anadolu
Bayburt,Karadeniz
Karaman,Ic Anadolu
Kirikkale,Ic Anadolu
Batman,Guneydogu Anadolu
Sirnak,Guneydogu Anadolu
Bartin,Karadeniz
Ardahan,Dogu Anadolu
Igdir,Dogu Anadolu
Yalova,Marmara
Karabuk,Karadeniz
Kilis,Guneydogu Anadolu
Osmaniye,Akdeniz
Duzce,Karadeniz
